corpus,user/qirim/corpus_28_06_crimean_tatar
riverağa,5
oynaşı,5
çalışmaz,5
yetiştirmez,5
gençlerimizniñ,5
yetkeninen,5
düşeli,5
oyuncaqları,5
yetkize,5
oyuncısı,5
ananelerden,5
almalarını,5
oyunlarına,5
maycı,5
oturacaqsıñ,5
oyunından,5
romaniyadaki,5
oyunlardan,5
ananelerimiz,5
yeudiye,5
yevmi,5
maynen,5
mayornı,5
yevtuşenko,5
bilmeysiz,5
bilmeymi,5
ananelerimizge,5
yeñalmay,5
mayre,5
yeñgil,5
inanmaysıñ,5
mazalı,5
oñaytsızlıq,5
bilmezsiñ,5
avalı,5
bilmiymen,5
yeşillikke,5
mañamı,5
oğlançığınen,5
yiberdiñ,5
ebana,5
oğlumdır,5
yeñişlerinden,5
yiberilip,5
caqına,5
oğramadı,5
incerdi,5
incere,5
oğramaq,5
oğramağan,5
yigitini,5
ayrılıqnı,5
incisi,5
yiplerge,5
yiplerini,5
yipten,5
oğraşamız,5
maşağa,5
yohmı,5
yolaqlarnı,5
felyetonları,5
oğraştıq,5
ayser,5
oğulnıñ,5
iner,5
ineniñ,5
inesini,5
yolbaşçımız,5
yolcum,5
muracat,5
fenalaşqan,5
ecdadı,5
yoldaşev,5
başlarsıñ,5
yollamadılar,5
bindi,5
fenamı,5
yollana,5
fende,5
oşayım,5
fenerleri,5
ecdatlarından,5
padişaha,5
feniniñ,5
cavrunlı,5
padişalarğa,5
padişaları,5
fenlerden,5
başlasın,5
ecelim,5
yolqapığa,5
pahlava,5
bir-birimizniñ,5
adalbert,5
mecburiyetindemiz,5
paketten,5
yolçıqqa,5
yolçıqnen,5
aqayda,5
aytacağı,5
paktir,5
meclisini,5
avañ,5
birader,5
yoqdır,5
ed,5
yoqlığını,5
paltonı,5
palvan,5
birci,5
feratnıñ,5
yoquşqa,5
medaller,5
aqaylarına,5
birevden,5
edebiyatsız,5
pantalon,5
yorulsa,5
yoruldıñız,5
edebiyatçılarnıñ,5
birevlerden,5
yorulğanından,5
edebiyatçılarımız,5
feryadları,5
yosmam,5
papkasını,5
feryadını,5
institutından,5
edebiyatşnaslığında,5
yugoslaviya,5
birikme,5
çantamnı,5
birikmeleriniñ,5
fesiñ,5
acemilik,5
fesniñ,5
medreselerniñ,5
fesler,5
parazitler,5
ağlavları,5
aytasın,5
parfeniyniñ,5
aqayttı,5
parkta,5
aqaytıb,5
yulius,5
edemni,5
fetva,5
yorar,5
yunci,5
parlaqlığı,5
mehanizatsiya,5
yuqlamadım,5
parmaqlıqlı,5
parmaqnı,5
fezağa,5
feşan,5
abdulhaq,5
parmağından,5
sallanır,5
yuqlarsıñ,5
yuqlatqan,5
parohodda,5
mein,5
yuqlatır,5
başlıqnıñ,5
yuqmay,5
yuqsuray,5
başlığında,5
cebesindeki,5
partiyasına,5
meksika,5
partizandan,5
partizanlarda,5
yuqunçlıdır,5
yuqumnı,5
partiyamıznıñ,5
salte,5
yuqusızlıq,5
parçadan,5
fikirdesiñiz,5
parçalanacaq,5
mektepkece,5
yurtlarda,5
barazna,5
fikirlerimiz,5
çaparsıñ,5
yurtuñnı,5
birleşik,5
yurtımda,5
yurtına,5
mektübiñizni,5
fikirleriñizni,5
fikirleşe,5
fikretni,5
adina,5
yutıb,5
ediyesini,5
sanatoriy,5
anatomiya,5
patlaylar,5
birleşti,5
fikrinden,5
fikriniñ,5
mekânımız,5
fikriñ,5
mekânıñ,5
irimege,5
patrullerden,5
paulino,5
birleştirir,5
patılcan,5
filigran,5
melunnıñ,5
yuzine,5
filislerniñ,5
melâikeler,5
yönelişleri,5
paçka,5
birlikleriniñ,5
başqırd,5
paşşahane,5
fin,5
yükke,5
aqsaqalı,5
yükletip,5
pekinmesi,5
pekisini,5
pekintilerine,5
avelendi,5
yükseklikni,5
yüksekliklerinde,5
memnuniyetle,5
efsanelerden,5
saqalıñ,5
memorial,5
azbarnen,5
memuriyetlerde,5
yünleri,5
pembe,5
avelenib,5
egdim,5
alddan,5
pencereñden,5
yüregiñizni,5
bitaq,5
yürgenge,5
perdelerini,5
fizik,5
yürgenimni,5
yürgenleri,5
fizkultura,5
saqınuv,5
anaydan,5
bitayğa,5
yürmekteler,5
periniñ,5
perm,5
menimi,5
pertavlatıp,5
yürütir,5
yürüşinen,5
yürüşni,5
aytqanıday,5
yüzbeznen,5
yüzi,5
menligine,5
ağırlıqları,5
fond,5
petâ,5
peyda etken,5
peyda etmek,5
bitirdiñiz,5
yüzükke,5
peyda olmaqta,5
peyda olmağa,5
egizler,5
peyda olğanlar,5
mennanovlarnıñ,5
menzum,5
peyğamberi,5
peyğamberlik,5
yıldönümi,5
fortepiano,5
yıldızımız,5
peşkir,5
cemileva,5
merameti,5
yıllarğace,5
yıllıqqa,5
yılmayaraq,5
cemilni,5
adımlağanda,5
aldımı,5
pilâvnen,5
eglenmey,5
yılışuv,5
yımırtalarnıñ,5
aqnen,5
franka,5
pitenen,5
bitirsin,5
egoist,5
frantsuz,5
yıqtırıp,5
satırına,5
merasimlerini,5
ehali,5
piçenlerni,5
topqapı,5
piyansa,5
yıqılmasın,5
yıqılmağan,5
aytur,5
aytuv,5
çıdalmaz,5
pişirem,5
becerdiler,5
pişireyik,5
avf,5
yırlamaqnı,5
adiselernen,5
yırlansın,5
becereler,5
merekebi,5
fufaykasını,5
savurıla,5
ehvalı,5
funktsiyalarını,5
bitmesin,5
savuşıp,5
becergenini,5
yuriş,5
çıhtı,5
merkezini,5
yığılıp,5
aytılmaq,5
planınıñ,5
beceriksiz,5
plenum,5
adımnen,5
merumnı,5
biyesini,5
aldıra,5
ekensin,5
furuncınıñ,5
mesafeden,5
podvalğa,5
poemadan,5
arheolog,5
sayıb,5
poeziyasında,5
zalnı,5
zalımlığı,5
çımnı,5
meseleñ,5
polietnik,5
zambaq,5
aytılırmı,5
zameti,5
politsaynı,5
alacağına,5
bedarkanen,5
fırlana,5
ekiminiñ,5
polkanovnıñ,5
ekimizden,5
polkları,5
polkovnigi,5
aytım,5
bedat,5
bizimkisi,5
zararlarını,5
zararğa,5
poloniyalılar,5
zararıñ,5
zarfnıñ,5
isyannı,5
qardaşnıñ,5
acerha,5
fırsatı,5
avlanmağa,5
sağanaqlap,5
zatlarnı,5
bedenimde,5
mesye,5
anbardan,5
zavodnı,5
mesülietsizlik,5
ekinler,5
fısıldı,5
portretniñ,5
fısıltı,5
aldırdım,5
metanet,5
ekipaj,5
zayıflığını,5
met,5
metinler,5
fışqırdı,5
biçarelerge,5
anbarları,5
metnlerni,5
bediiyet,5
metodikası,5
ayuvdan,5
poyezdda,5
poyezdlar,5
zemaneniñ,5
ceryanğa,5
zembilden,5
pozitsiyası,5
zeminde,5
galereyasını,5
mevamı,5
poçtadan,5
parlamentte,5
ekserisini,5
bediyet,5
zenaatlarnı,5
zenci,5
anbarğa,5
zenginlerden,5
zenginleşti,5
prezidiumı,5
eksikligim,5
mevsimge,5
eksikligini,5
zenginliklerni,5
mevsimlerinde,5
printsipini,5
mevtalarnı,5
avliye,5
blanka,5
mevzudır,5
problema,5
eksileler,5
zevqın,5
eksilmedi,5
qartanañ,5
professorımız,5
aqlay,5
programmanıñ,5
meydançıqta,5
programmasınıñ,5
zikirni,5
bm,5
erikni,5
proletariat,5
qartaysa,5
prokurorına,5
meyilli,5
zindanlarından,5
prometey,5
ziraat,5
selâmladılar,5
begengeni,5
ekskursovod,5
ayvançıqlar,5
mezarlıqlar,5
ziyansız,5
prototipi,5
selâmınen,5
ziyaretni,5
mezarlığını,5
begenilip,5
ekspertiza,5
proyektini,5
mezarıña,5
mezarıñ,5
mezarıñnı,5
psiholog,5
zontik,5
psihologiyasınıñ,5
psihonevrologiya,5
eriflerge,5
eksponatlar,5
meçev,5
elçin,5
meşalge,5
sendeki,5
meşali,5
punktında,5
ayvazovnı,5
purgştal,5
zorluğı,5
zoru,5
zuhranıñ,5
iç bir şeyde,5
puşkinniñ,5
propusk,5
meşrebeniñ,5
zulumnı,5
ayğace,5
meşçannıñ,5
geceledi,5
zurnanıñ,5
ayğırnıñ,5
pülemötnen,5
aldıñızğa,5
zıncırdan,5
zılhağa,5
cevdetov,5
çıqmağance,5
aldığı,5
gitmek,5
püsküre,5
zıqı,5
elektron,5
püsürlengen,5
qartoptan,5
mikrob,5
mihrab,5
çadırlarda,5
milisniñ,5
pıtaqlı,5
gelib,5
pıtağıdır,5
pıtağını,5
gelmemiş,5
gelsin,5
ceyran,5
milletleri,5
bolmay,5
gelü,5
içkicilikke,5
milletnen,5
işledik,5
pışıldadı,5
milletperverlik,5
qaarinden,5
çalğıcılarnıñ,5
milli,5
gendi,5
millioner,5
içmesi,5
bekirovğa,5
çalışacaqmız,5
geniçesk,5
gençi,5
elimle,5
qabaqlar,5
çalışqanım,5
gençliginiñ,5
acılarğa,5
sevgiler,5
çalıştırdı,5
aqmay,5
ekşitip,5
minaresini,5
çalışuvını,5
sevib,5
qabirine,5
sevindik,5
bombalarını,5
ellerime,5
qabristanda,5
qabrime,5
qabul eterler,5
çanalata,5
kvç,5
armanğa,5
işandırılğan,5
işanma,5
qabul etkende,5
mingenim,5
ellere,5
qabul etkenler,5
ellernen,5
bonalğan,5
qabul etse,5
germaniyanıñ,5
ministrligine,5
qabulcı,5
ministrligi,5
qabulhanege,5
qabulhanesine,5
gertsen,5
çapalav,5
çapayım,5
çapayıq,5
mingensiñ,5
seyircige,5
topaçı,5
çapqaladılar,5
getmanı,5
avtomatnıñ,5
işbirlikte,5
çalışuvğa,5
qadd,5
qaburğasını,5
avtomatçıları,5
çapuvnen,5
avtomatı,5
borannı,5
boranına,5
çaq,5
beklemeñ,5
mirasnı,5
qadiriyniñ,5
aşhaneni,5
gezersiñ,5
geçer,5
aqmollayev,5
çariçe,5
cigerlerim,5
gidip,5
işiñnen,5
çağırıñ,5
misra,5
qafama,5
çaruhov,5
borclusıñız,5
qafamnı,5
gigiyena,5
çarşafqa,5
çarıqlarım,5
qafesniñ,5
işlegeni,5
çarşısı,5
çast,5
gimnaziyanı,5
gimnaziyasınıñ,5
mitkağa,5
elâk olğanları,5
ginzburg,5
bekletip,5
çatmaq,5
gir,5
bekletmek,5
miyge,5
qaidesini,5
çatırdağğa,5
çavke,5
qavriden,5
çayhana,5
avtonomiya,5
alekseyevnanıñ,5
çaynalğan,5
qalap,5
çayqalıp,5
borodaç,5
qalavına,5
gitdiler,5
emaneti,5
qalbiñiz,5
boşanğan,5
emceleri,5
çağımdan,5
abiyev,5
qaldırasıñ,5
çağıraraq,5
totaynıñ,5
çağırmalarını,5
çağırmadım,5
çağırayıq,5
çağırmay,5
emcemni,5
qaldırsañ,5
çağırtılğan,5
çağıruvlar,5
mitâ,5
çağırtalar,5
qaldırğanı,5
qaldırımdan,5
bektaş,5
qaldıñızmı,5
bostancınıñ,5
iştirak etkeni,5
siyasetni,5
qalemlerini,5
çehiya,5
çekanka,5
qalendername,5
çekecegim,5
sizdemi,5
çekersiñ,5
çekesiz,5
gobelenler,5
qalmaması,5
monğollar,5
sizmisiz,5
qalmaqtan,5
emeklerini,5
cismiy,5
kâzimge,5
golubeva,5
mort,5
botasını,5
qalmıştır,5
gorbaçövnıñ,5
goroşnikke,5
qalpağına,5
aspirantura,5
çekişmek,5
gospitallerde,5
qalpniñ,5
qalqmağa,5
emgende,5
qaltırab,5
avtorlarnıñ,5
çeksin,5
eminem,5
qalğanlardan,5
avul,5
çektirgen,5
çelebicihandan,5
aqrabalar,5
çelek,5
belediyede,5
qalınacaq,5
qalınlaşqan,5
belediyege,5
angrenge,5
qamasını,5
belgece,5
emiralla,5
çerepke,5
grigorenko,5
boyağa,5
grigoryevna,5
muammalar,5
çerkesni,5
qametiñ,5
muarebesinde,5
çerte,5
grişkanıñ,5
anhornıñ,5
muarriyetinde,5
gruppalarnı,5
boyacılıq,5
emirnen,5
emirovanıñ,5
çetleşip,5
qanaatlenmey,5
azamatlar,5
grünvald,5
qanap,5
boylusı,5
çevirilmesi,5
qanatlarıñnı,5
gulag,5
çevirseñ,5
çeviriñ,5
qancal,5
emizgen,5
muhaddes,5
belgilerni,5
aqrabasını,5
azan,5
gunâsız,5
qamusın,5
çezme,5
qanfet,5
belgileyler,5
qangimiz,5
çeçegim,5
çezüv,5
qanmadı,5
qanmayıp,5
gurzuftan,5
boynuñnı,5
belgisizlikke,5
çeñgesi,5
emçegim,5
çeşmeciyevanen,5
gâhice,5
emşirelik,5
çeşmim,5
azaplanğan,5
qanımızda,5
çiberekni,5
gögercinge,5
azaplap,5
çigoznıñ,5
emşireniñ,5
çilanzar,5
gök,5
boysunma,5
endamını,5
azaplanğanını,5
boysunmadı,5
boysunmadılar,5
aniçka,5
gölleri,5
coşasıñ,5
endekten,5
azaplarından,5
mulga,5
çinaz,5
göldoniniñ,5
çingenesi,5
boysunuv,5
gönceler,5
çekseñ,5
qapatuvlar,5
qapatılması,5
azaplağan,5
qapav,5
çivildeşken,5
çivildisi,5
çiviltisi,5
alaca,5
qapağına,5
aqranlarınen,5
sozdım,5
çoban-zadeden,5
çobanlıqnı,5
enerek,5
qapucı,5
qapulardan,5
aqranım,5
çolpannen,5
qapusındaki,5
görse,5
enersiñ,5
çomğan,5
qapılarnıñ,5
çocuqlara,5
görünmeyü,5
muqavemet,5
engeni,5
engenler,5
qapıñ,5
çoqraqlarını,5
bellese,5
gözi,5
qaqmay,5
aletlerinen,5
stakanını,5
çoqrağında,5
gözümden,5
muradıñnı,5
bozmadan,5
bozmadı,5
aqsamaqta,5
murmansk,5
qarabaş,5
göñlünden,5
çubarovnıñ,5
murzayev,5
bozmayım,5
murğ,5
bozmayıp,5
enveri,5
musafirhanelerde,5
qaralezli,5
musafirhanemizge,5
qaraltıları,5
göñüllerde,5
qaraltısını,5
studiyada,5
çuvalımda,5
qaranfilni,5
musafirlikten,5
musafirçenlik,5
qaranlığından,5
çöküçinen,5
alette,5
çöllükte,5
qararlaştırdıq,5
çömez,5
çömüçni,5
gülciandan,5
belâları,5
çürüdi,5
qarasını,5
avuşuv,5
absettarov,5
erbab,5
gülim,5
çıbırdı,5
çıdamlılıq,5
qarayman,5
qaraçay,5
gülizarğa,5
erbaplarnıñ,5
qaraşayskiy,5
muvafaqiyetlerine,5
alacağımnı,5
çıhar,5
erbaplarına,5
muvaffaqiyet,5
kedaylarınıñ,5
boğazlarına,5
hakimcan,5
tribunalğa,5
surdi,5
çıqacam,5
muzaffariyet,5
muzaffer,5
çıqamı,5
erekten,5
çıqarasıñ,5
qarmağını,5
köküsime,5
qarnına,5
gülçik,5
muzıkasınıñ,5
çıqarması,5
boğdan,5
çıqarmasını,5
qarsanbağa,5
çıqarmazlar,5
boğdaynen,5
boğdayğa,5
suvarsa,5
qartanaydan,5
alacağıñnı,5
boğdayıñ,5
çıqarılmasını,5
günahsız,5
günahtır,5
qartbabalarınıñ,5
tsilindr,5
kölem,5
çıqasıñ,5
qartbabaçığım,5
qartbabağa,5
qartbabasınen,5
muştulayu,5
qartiylernen,5
mâu,5
qartlığı,5
alevlendiler,5
eriş,5
qartopqa,5
çıqqanım,5
qartoplar,5
çıqtıñızmı,5
gürdelendi,5
qarçığasında,5
boğçalarını,5
qarğışlı,5
gürlesin,5
qarğar,5
boğçamnı,5
çıqışına,5
qaviyleştirmek,5
müderrisleri,5
qarğap,5
qarınların,5
qarınlarını,5
ölçenile,5
azizege,5
qarığa,5
pialalarnı,5
azalıqqa,5
erkelep,5
çıtırmanlıq,5
sönmege,5
çızıqlı,5
sönmekte,5
tsss,5
müendisniñ,5
müessiselerinde,5
gürüldey,5
qarışır,5
gruppasından,5
çıñlarnı,5
müessiseler,5
beremi,5
qarşılandı,5
öbiri,5
qarşılağanlar,5
azizlik,5
haa,5
erlerni,5
müftizade,5
erlikni,5
mühimdir,5
qarşıñızda,5
güzellikniñ,5
mühlisi,5
haberlerniñ,5
qavurta,5
qasevetlerden,5
qasevetni,5
qasideniñ,5
sözlerimniñ,5
ögrenmekten,5
sözleşe,5
qastlıq,5
boşay,5
ögretem,5
halimahon,5
hacibniñ,5
azlıqnı,5
çıñlağan,5
sükünetten,5
mülkke,5
hadimini,5
haliqına,5
ögütini,5
qatiyetli,5
mülkümni,5
azlığından,5
ögüzge,5
mülklerini,5
qatiyliknen,5
süngüge,5
ögüzlerini,5
boşluqlarğa,5
müminlerni,5
öksürik,5
mümkünatı,5
qatmay,5
öksüzni,5
qatmerleşken,5
öktemli,5
alalmay,5
mündericesiniñ,5
qatnaşalar,5
qatnıñ,5
esapladı,5
öldirmek,5
ayaqlarda,5
esaplamaq,5
bereceksiz,5
qattılar,5
aznavur,5
qattılıqnen,5
öldürgeni,5
ökürgende,5
qatıldılar,5
qatılmaq,5
öldürilgenini,5
qatıqqa,5
öldürmeñiz,5
ölecekmiz,5
ölemiz,5
qavalım,5
ölensiz,5
müsemma,5
ölermi,5
brezentni,5
ölesnitskiy,5
qavehaneler,5
brigadalarda,5
brigadalarnı,5
qaviyleştirdi,5
ölmeyceksiñ,5
müstemlekeniñ,5
brigadasınen,5
ölçüni,5
gurcu,5
sıcah,5
sıcaqnıñ,5
brigadirlik,5
brigadirlerni,5
ömelçenko,5
beresiz,5
halqperverlik,5
brilliant,5
ömründen,5
ölüvler,5
kendiñ,5
ömrüñni,5
ömürimizge,5
halqa,5
öperniñ,5
ayaqmaşina,5
öpkeley,5
sınavı,5
müşkülliklerge,5
müşrik,5
aqçalarnı,5
qaymaqnı,5
örkenler,5
aqçaları,5
bergenimni,5
örnekke,5
esimdemi,5
mıhlar,5
mıhlı,5
sıqmadılar,5
cıyırıp,5
aqçam,5
örtünen,5
ös,5
ösersiñ,5
azırlanam,5
mıqlama,5
hammallar,5
bergenniñ,5
bufetke,5
qayerlerde,5
ösmez,5
qaytana,5
esiñde,5
ayaqqaplarnı,5
hamırnı,5
mırzaçölge,5
mırılday,5
ösüvine,5
berilecegi,5
azırlanmasını,5
aqçañ,5
mısqıllaycaq,5
aeroportında,5
eskenceler,5
mısranıñ,5
hanike,5
eskencede,5
qaytmaycaq,5
eskenderge,5
ötüken,5
öylece,5
mıyıqlığa,5
eskicesine,5
abican,5
qayğana,5
dalacaq,5
dalaraq,5
özençikler,5
özenlerni,5
azırlanamız,5
berilmese,5
qayıqçı,5
qayığını,5
qayışlar,5
sıqtım,5
qazahqa,5
qazahstandan,5
adliyeci,5
özüniñki,5
nafeni,5
qazandıñız,5
nagayevnen,5
harakterde,5
ayaqyolğa,5
dalma,5
özlüginen,5
harakterlerini,5
qazanıla,5
harapladı,5
azırlağanda,5
qazanında,5
naleyi,5
qazanıñız,5
üfürmege,5
üfürse,5
nalog,5
üfürte,5
harbiy,5
acınen,5
esmaçıq,5
ükümdarnı,5
çinarnıñ,5
namanganda,5
hareketi,5
qazmaqta,5
ükümranlığı,5
ösmey,5
namaznı,5
bahşışıdır,5
bahşışım,5
qazılacaq,5
qazıntılarınen,5
qazıqlar,5
kerginligi,5
bufette,5
ülkusalnıñ,5
cıyışınıp,5
namussızlıq,5
bulmadılar,5
qaçmadı,5
ümütimiz,5
ümütke,5
ümütlerge,5
hasannı,5
ücrem,5
naqliyat,5
qaçta,5
aqılları,5
ünnen,5
ketildi,5
bulu,5
qaçınmadı,5
hasiyetleri,5
qaçırdı,5
haslığı,5
ürküp,5
mırıldadı,5
narimanğa,5
ürmetni,5
dadianiniñ,5
berildimi,5
aqıllıca,5
qaşqırdan,5
bermegenlerini,5
qaşğarlı,5
üstlerindeki,5
ösüvini,5
talaqa,5
antlı,5
sollı,5
nasil,5
hastaları,5
ütemuradnıñ,5
qiyafetine,5
qiyafetli,5
hastalıqları,5
qiyasından,5
açam,5
alide,5
üyteklep,5
açikeç,5
hastasıñmı,5
nasır,5
natalya,5
qaytaz,5
üzviy,5
üzük,5
üzülmesin,5
açközliknen,5
üzüp,5
navrezim,5
bulunırken,5
tamirine,5
üşkütti,5
qoltuğınıñ,5
hatiriñizde,5
tamırlarınıñ,5
qolâzmasını,5
hatrası,5
ğalibi,5
qolına,5
açlığında,5
açlığından,5
ğamze,5
qomşumnıñ,5
hattatovnıñ,5
ğaraib,5
tanımaysıñ,5
ğarezli,5
alil,5
ayazında,5
ğaripmen,5
bulğanaqli,5
ğayelernen,5
qonuşqanda,5
qonuşmay,5
qonuştılar,5
ğafarovnı,5
bulğaristan,5
açmasına,5
aqılıñız,5
ğayıplarını,5
eticilerge,5
ğazap,5
qonşu,5
nağışları,5
ğazelini,5
ğazellerini,5
qoparmağa,5
çizgilerde,5
hatırlatalar,5
etildik,5
ğazınıñ,5
darqaq,5
kezineler,5
tapmasaq,5
özbekistannı,5
qoqlasını,5
acınıb,5
qoqlağan,5
arzuma,5
hatırlayaraq,5
qoqup,5
besle,5
qorada,5
beslegenler,5
qoralanıp,5
etilgenlerniñ,5
nefesde,5
nefesinden,5
açqanı,5
qorantalarınıñ,5
qorantamnıñ,5
haval,5
açqanımnen,5
nefesleri,5
ıncıta,5
ıncıtqan,5
alannıñ,5
burar,5
qapıshor,5
qorqacaq,5
ıntıluvlarını,5
qorqaqlardan,5
nefretke,5
haviy,5
nefretlenip,5
açsañ,5
aqınnıñ,5
qorqqanım,5
qorqtıq,5
ırım,5
qorqunı,5
negizden,5
qayıqları,5
hapu,5
taqqanda,5
hayalperest,5
berilmesine,5
hayalınen,5
qorup,5
etkenimizni,5
nemseniñ,5
afatnı,5
qoruvğa,5
şaadı,5
qoruyıcısı,5
şaadet,5
kesilgenini,5
açuvda,5
şaheser,5
aydadım,5
betimi,5
betin,5
hayredinov,5
eskizleri,5
qoylarnen,5
nesirciliginde,5
açuvlandılar,5
keçkenleri,5
şairlerinen,5
bursada,5
betlerge,5
aydalıp,5
burulacaq,5
afatı,5
keçmesini,5
burnunen,5
etmektem,5
qoyulmasına,5
qazalanğan,5
şamatalar,5
şamdan,5
tarttım,5
etmeseñiz,5
nevbetni,5
aqsa,5
keñce,5
haraca,5
anıq,5
burumnı,5
qozlılarnıñ,5
hazinedar,5
şaqadan,5
etmeycegini,5
şaqasımnı,5
anıqlamaq,5
etmeysiñmi,5
şaraitlerine,5
şaraitına,5
şarik,5
qoçqarnı,5
burunıñ,5
nahv,5
qoğa,5
neşesi,5
ücümde,5
aqıl-baliğ,5
alamaz,5
neşr,5
qoşmasañ,5
nalet,5
alimlerden,5
nidaları,5
esliler,5
dayanıqlı,5
qoşulmasını,5
açuvğa,5
helâk,5
etraflarını,5
şaşmaladılar,5
açuvına,5
nallı,5
etraftakilerniñ,5
hepsi,5
şeadetnamesi,5
herdem,5
qrımtatarları,5
tvardovskiy,5
deñişmelerini,5
tavada,5
nikâhtan,5
qubı,5
nikolaynı,5
hevazinliler,5
şefiqanı,5
ükümetleri,5
tavuhnı,5
heyran,5
şegirtlerge,5
şegirtlik,5
qulaqlar,5
şehirde,5
niyarmı,5
beyitlerine,5
niyaziyeva,5
aqşamlarda,5
baltağa,5
ülemaları,5
ketalmay,5
buyruqlar,5
qullanğanlar,5
şems,5
qullanır,5
qullede,5
qullesiniñ,5
ülkemniñ,5
şereflegen,5
ülkemizniñ,5
şartıñıznı,5
şerefley,5
qulvalla,5
buyursañız,5
göñüllerge,5
şeriatı,5
esnaflarını,5
şeriften,5
şerifleriñiz,5
hocalıqlar,5
qumnen,5
alimova,5
şeritleri,5
şerlok,5
tañrıma,5
quplu,5
taşacaq,5
nişaret,5
açılğanına,5
qurabiyeler,5
eval,5
no11,5
azırlığını,5
qurbanlarından,5
no38,5
qurbansız,5
şeylerdir,5
buzavımnı,5
şeyleriniñ,5
şeytannı,5
kirgeninden,5
taşqanda,5
bulmadı,5
aqşeerde,5
affikslerini,5
qursağım,5
qursağından,5
nomerim,5
horazçıh,5
qumaçtan,5
horağa,5
tökmey,5
şifonyerniñ,5
qurtarğanlar,5
buzlattı,5
çuvuldaşıp,5
qurtmollayev,5
açıqlamağa,5
normandiya,5
notalarnı,5
şimalden,5
horluqlar,5
notalarınen,5
horluqları,5
horluqtan,5
qurtulmaqnı,5
bezetilip,5
ünerleri,5
şirinskiy,5
dediñizmi,5
bezetti,5
tedaviylene,5
şişelerniñ,5
qurucılıqnen,5
numayışlar,5
şişikni,5
çökkeledi,5
qurulmış,5
qaçırdıq,5
hozâystvosınıñ,5
evlendirmege,5
şoföri,5
şoförni,5
şokoladnı,5
şolohov,5
bezleri,5
evleneyik,5
tırışqanda,5
şorbasına,5
nurların,5
hoştöpede,5
evlengenler,5
ştanlı,5
hrestomatiyada,5
tekiyesinde,5
ketirecegine,5
ştatları,5
ştatı,5
teklifnen,5
şuhrat,5
narimannı,5
böldiñ,5
estağfirulla,5
qusurlar,5
beñ,5
beñi,5
şuurlı,5
bölgelerinde,5
qutlu,5
qutudan,5
bölgeniñ,5
añdılar,5
şçerbakov,5
telefonnıñ,5
evleriñiz,5
qutuğa,5
şübelenmey,5
quvaladı,5
şükriye,5
obalarına,5
şüretini,5
hulâsalarnı,5
evlâdları,5
hulâsaları,5
ober,5
şıpıra,5
üslübiniñ,5
narâdda,5
quvanu,5
quvanmay,5
şırasını,5
bölügimiz,5
baqdılar,5
beñzemeyler,5
baqdım,5
quvanırlar,5
evlâdıñız,5
quvarlar,5
qaşımağa,5
quvetimizni,5
bölüklerinde,5
quvetimiz,5
bulunmadı,5
qaşından,5
quvetlendirdi,5
hurnazlıq,5
quvetlerine,5
ütü,5
huseyn,5
quvvetli,5
temizliginen,5
üyniñ,5
hususunda,5
qmpu,5
çuvuldaştılar,5
nasırlı,5
quçaqlaştıq,5
hviii,5
quğumısıñ,5
quşlarnen,5
quşçığım,5
üzülmedi,5
üzülmeden,5
böylelerine,5
hırsızlarnıñ,5
üçüncisinden,5
bulunırlar,5
qollu,5
erbaplarınen,5
çıdağan,5
bulup,5
qılınmağa,5
qılınır,5
qoltıqlap,5
qılıçlarını,5
hızmetim,5
qınapnen,5
qoluñızdaki,5
bulutları,5
hızmetkârlarınen,5
hızmetnen,5
qıralğa,5
qıralınıñ,5
allahumme,5
hііі,5
qırıcısı,5
ibarelerge,5
ibaresinen,5
qırdılar,5
ğarbında,5
büronıñ,5
hatunlar,5
qırımlılarnıñdır,5
ibramnen,5
etersiñizmi,5
ğariplerniñ,5
afrikada,5
qırımtatarğa,5
qırımımız,5
añlatqanı,5
bürüngenler,5
nazmiyetine,5
qonarım,5
icadımnı,5
icadımnıñ,5
icap,5
añlatsın,5
qısqalıq,5
qonuşamız,5
aralıqları,5
qısımıdır,5
qısımından,5
qıtasında,5
icrasını,5
qartanamnen,5
qıyasınen,5
qıymanı,5
qıymetnen,5
büyüklerine,5
qıynaldım,5
acını,5
teşne,5
qopqalıq,5
qıyınca,5
alımıznı,5
qıyığı,5
qıyınlaştıra,5
departamenti,5
idilip,5
qızdayın,5
tapqırlarını,5
idraq,5
qartbabaña,5
qızmatabanlıq,5
bunuñ,5
ifadeledi,5
ifadeligi,5
ablâmitniñ,5
qızıltaştaki,5
qızılçıqnı,5
bılaştırğan,5
qızınmaq,5
iftiradır,5
qıçırasıñ,5
admiral,5
qıçırğanı,5
ihtibarınen,5
bıraqacaq,5
etilmeli,5
qışlaqnıñ,5
qışlağından,5
bıraqmadılar,5
ihtisasiy,5
ihtisasını,5
tirer,5
qorqaraq,5
havfını,5
balaçıqlarım,5
raatlandı,5
raatsızlağanını,5
rabbige,5
bıraqıñ,5
ikonostas,5
iktifa,5
añlaştı,5
aranlarını,5
cabbarlınıñ,5
ikâyedir,5
negizinden,5
alimeden,5
qarçığasına,5
qorquzdılar,5
qorquzmadı,5
rak,5
etiñni,5
qorqıñız,5
añlaşılmaqta,5
qorqusız,5
tişlerim,5
rastkelecek,5
ışıqlı,5
caillerniñ,5
rastkelişkende,5
ilhamlana,5
beterini,5
ilhamlı,5
rastketiririm,5
